"Inicio del informe","Fin del informe","Nombre del anuncio","Entrega del anuncio","Valor de conversión de compras",Compras,"Costo por resultados","Indicador de resultado","Importe gastado (ARS)","ROAS de compras","Clasificación de calidad"
2026-09-01,2026-09-25,Liquidación,not_delivering,386400,5,1273.698,actions:offsite_conversion.fb_pixel_purchase,6368.49,60.673723,-
2026-09-01,2026-09-25,"El vestido mas vendido de la temporada",archived,,,,,3507.41,,-
2026-09-01,2026-09-25,"Mono alegra Publicacion",not_delivering,,,,,20764.48,,Promedio
2026-09-01,2026-09-25,"Vestido Anny Video",not_delivering,488400,6,7391.63833333,actions:offsite_conversion.fb_pixel_purchase,44349.83,11.012444,Promedio
2026-09-01,2026-09-25,"Vestido Anny IA",not_delivering,,,,,8098.5,,-
2026-09-01,2026-09-25,"Vestido Alegra IA",not_delivering,,,,,7767.31,,-
2026-09-01,2026-09-25,"Vestido Alegra video",not_delivering,89000,1,14150.52,actions:offsite_conversion.fb_pixel_purchase,14150.52,6.289522,Promedio
2026-09-01,2026-09-25,"Anny Marron",active,,,,,2259.22,,-
2026-09-01,2026-09-25,"Anny Negro",active,74800,1,2899.37,actions:offsite_conversion.fb_pixel_purchase,2899.37,25.798708,-
2026-09-01,2026-09-25,"Anny Malbec",active,,,,,2988.5,,-
2026-09-01,2026-09-25,"Video Anny",active,556000,6,3754.00833333,actions:offsite_conversion.fb_pixel_purchase,22524.05,24.684726,Promedio
2026-09-01,2026-09-25,"Mono alegra Video",active,,,,,2661.71,,-
2026-09-01,2026-09-25,"Video Anny II",active,1847550,16,5244.845625,actions:offsite_conversion.fb_pixel_purchase,83917.53,22.016258,Promedio
2026-09-01,2026-09-25,"Pantalon Fran",active,374000,1,2080.39,actions:offsite_conversion.fb_pixel_purchase,2080.39,179.773985,-
2026-09-01,2026-09-25,"Pantalon Fran Video",active,297500,1,6476.41,actions:offsite_conversion.fb_pixel_purchase,6476.41,45.935943,Promedio
2026-09-01,2026-09-25,"Anny colores carrusel",active,,,,,1650.49,,-
2026-09-01,2026-09-25,"Mono alegra",active,,,,,140.89,,-
2026-09-01,2026-09-25,"Camisero Anita",active,,,,,15009.73,,-
